Entidad,ActivoTotal,Inversiones,CarteraTotal,CaptacionTotal,CapitalContable,ResultadoNeto,Fecha
Autofin,16799.84502078,4099.31266623,8316.7598852,14696.9572152,1568.9044787100001,99.66932014,2025-04-01
Inmobiliario Mexicano,16093.45689619,210.24150165,12844.418728629998,13372.630962750001,1834.80439442,46.8170965,2025-04-01
Mizuho Bank,11378.08538721,0.0,5945.11532132,6518.208385599999,4440.612777640001,161.62855159999998,2025-04-01
Banco Covalto,9601.26572669,92.90578993000001,6116.49537651,8181.361809960001,1136.00217598,58.6512323,2025-04-01
ICBC,9529.492962,344.36928,4503.430667,7219.394696,1291.031014,87.619432,2025-04-01
Bank of China,8438.51686281,0.0,4105.09743758,6118.0035699499995,2258.21187502,81.16106986,2025-04-01
Volkswagen Bank,7612.635875,0.0,7006.345286,3516.012343,3542.593175,154.890924,2025-04-01
Shinhan,6968.334783,1619.791895,4141.106216,5052.7138319999995,1871.299085,40.501655,2025-04-01
Banco Ualá,6817.951219,3634.894576,645.312467,5615.767192,957.114327,-382.541246,2025-04-01
KEB Hana México,5813.217577,1775.933138,3971.10192,3987.078937,1744.196489,18.169399,2025-04-01
Banco S3,5342.989989,0.0,30.881947,1395.4823139999999,2466.502022,101.897716,2025-04-01
Openbank,5334.44419,2773.354744,33.700713,637.537712,4147.850223,-287.358994,2025-04-01
Banco Bineo,3514.73046824,0.0,29.497008469999997,35.002484079999995,3295.3746846199997,-367.17742259,2025-04-01
Dondé Banco,2733.77017,325.236483,1532.194942,1804.339466,503.496963,-36.51076,2025-04-01
Credit Suisse,2283.572643,1973.325187,0.0,0.0,2160.510236,-58.774501,2025-04-01
Forjadores,886.360731,0.0,394.987889,227.377977,610.504867,-6.128819,2025-04-01
Pagatodo,352.437595,0.0,0.0,20.980276,317.402802,-26.113978,2025-04-01
Hey Banco,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-01
0,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-01
0,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-01
Sistema,15303065.6640766,3939682.43372899,7776463.57946631,9083174.60772706,1721714.1126261095,100291.53899554998,2025-04-01
BBVA México,3402991.99619948,600222.08091362,2007090.20380016,2028591.6349843899,394138.30921240995,41635.89751961,2025-05-01
Santander,2030106.883259,625985.954839,935978.115324,1076169.5852639999,155788.340617,12519.805452,2025-05-01
Banorte,1917919.0229925502,434356.06373570004,1144003.23333442,1213735.1963886598,158827.27449251,19081.780512169997,2025-05-01
Banamex,1087277.07046871,404059.68790421,481248.82487223,736569.97981268,174819.44511914998,5211.25708063,2025-05-01
HSBC,907085.493204,207984.534089,502827.117421,575608.6550040001,84733.069401,3172.465468,2025-05-01
Scotiabank,885547.995534,188292.552096,521067.514037,577274.997595,89992.603247,4228.384149,2025-05-01
Inbursa,690035.764915,68961.326809,469905.137333,455847.34106,196593.030428,9568.638847,2025-05-01
Citi México,576351.6762022299,199304.62343597,195400.05633017002,336048.79180059,73936.68578178,4793.94127496,2025-05-01
Banco del Bajío,370487.39962315,27672.16809047,268365.63468512,306309.38745813,44215.216697519994,4025.66768362,2025-05-01
Banco Azteca,346635.44813101,91453.12827174,192679.66977960998,243157.13085004,42884.589839680004,2757.76505188,2025-05-01
Monex,329465.80069218,164861.55511941,53621.677566239996,83058.91209073999,15526.30787629,1476.39636432,2025-05-01
Afirme,317541.066595,181259.154489,67262.511947,85517.239961,8996.961644,390.71984,2025-05-01
Banregio,264746.81762076,50588.10928407,183915.60372202,190858.12211695002,31766.18412626,2619.44220447,2025-05-01
J.P. Morgan,249089.046083,44430.26372,27063.760118,67714.980038,35648.281518,1779.146104,2025-05-01
Invex,200015.915884,128739.86715,46433.249742,54152.201275,10394.652485,675.614496,2025-05-01
Bank of America,187839.423871,22210.085618,39597.255699,120074.422764,22743.5671,818.749937,2025-05-01
BanCoppel,178301.01287069,75215.06481417999,68824.73347949001,148287.03246413,22301.46229516,1908.29860635,2025-05-01
Banca Mifel,163311.635311,47949.496231,82862.060471,99989.517689,14857.869687,1311.262841,2025-05-01
